date,user_cnt
2008-11-29,2160
2008-11-30,2119
2008-12-01,1855
2008-12-02,1846
2008-12-03,1838
2008-12-04,1736
2008-12-05,1719
2008-12-06,2139
2008-12-07,2186
2008-12-08,1811
2008-12-09,1651
2008-12-10,1769
2008-12-11,1690
2008-12-12,1863
2008-12-13,2044
2008-12-14,2092
2008-12-15,1862
2008-12-16,1871
2008-12-17,1897
2008-12-18,1723
2008-12-19,1878
2008-12-20,1995
2008-12-21,1886
2008-12-22,1802
2008-12-23,1824
2008-12-24,1810
2008-12-25,1763
2008-12-26,1888
2008-12-27,2075
2008-12-28,2084
2008-12-29,1873
2008-12-30,1894
2008-12-31,1809
