yearweek,level_bin,avg_enter_cnt
200829,20~29,2.0545
200829,30~39,2.7008
200829,40~49,2.5799
200829,50~59,3.1588
200829,60~69,3.0369
200829,70~79,4.0316
200830,~10,1.5742
200830,10~19,2.1640
200830,20~29,2.1631
200830,30~39,2.5880
200830,40~49,2.7061
200830,50~59,3.1141
200830,60~69,3.0780
200830,70~79,4.2020
200831,~10,1.5391
200831,10~19,2.0193
200831,20~29,2.3199
200831,30~39,2.6173
200831,40~49,2.8318
200831,50~59,3.1071
200831,60~69,3.1677
200831,70~79,3.9924
200832,~10,1.4774
200832,10~19,2.0920
200832,20~29,2.1748
200832,30~39,2.5146
200832,40~49,2.7763
200832,50~59,2.8925
200832,60~69,3.1617
200832,70~79,4.0166
200833,~10,1.5465
200833,10~19,2.0714
200833,20~29,2.2468
200833,30~39,2.6713
200833,40~49,2.7206
200833,50~59,2.8616
200833,60~69,3.2082
200833,70~79,4.0093
200834,~10,1.4964
200834,10~19,2.0207
200834,20~29,2.3322
200834,30~39,2.4636
200834,40~49,2.7179
200834,50~59,2.9429
200834,60~69,3.4513
200834,70~79,4.0376
200835,~10,1.5532
200835,10~19,2.1018
200835,20~29,2.1716
200835,30~39,2.4826
200835,40~49,2.5000
200835,50~59,2.9032
200835,60~69,3.3269
200835,70~79,3.9625
200836,~10,1.5773
200836,10~19,2.0631
200836,20~29,2.1883
200836,30~39,2.5746
200836,40~49,2.5784
200836,50~59,2.9938
200836,60~69,3.1624
200836,70~79,3.9131
200837,~10,1.5586
200837,10~19,2.1114
200837,20~29,2.1871
200837,30~39,2.5450
200837,40~49,2.6938
200837,50~59,3.1392
200837,60~69,3.2648
200837,70~79,3.9378
200838,~10,1.5591
200838,10~19,2.0028
200838,20~29,2.1855
200838,30~39,2.7245
200838,40~49,2.5678
200838,50~59,3.0519
200838,60~69,3.1798
200838,70~79,3.9508
200839,~10,1.5414
200839,10~19,1.9192
200839,20~29,2.3313
200839,30~39,2.3447
200839,40~49,2.8238
200839,50~59,2.8061
200839,60~69,3.1925
200839,70~79,3.9332
200840,~10,1.2320
200840,10~19,1.9084
200840,20~29,2.1458
200840,30~39,2.5208
200840,40~49,2.5860
200840,50~59,3.1733
200840,60~69,3.1713
200840,70~79,3.6338
200841,~10,1.2038
200841,10~19,1.9538
200841,20~29,2.1320
200841,30~39,2.5029
200841,40~49,2.6533
200841,50~59,2.9510
200841,60~69,3.0556
200841,70~79,3.5756
200842,~10,1.2651
200842,10~19,1.7147
200842,20~29,2.1193
200842,30~39,2.3894
200842,40~49,2.5167
200842,50~59,2.6203
200842,60~69,2.7030
200842,70~79,3.4010
200843,~10,1.4020
200843,10~19,1.9564
200843,20~29,2.0210
200843,30~39,2.4458
200843,40~49,2.4271
200843,50~59,2.9795
200843,60~69,3.0426
200843,70~79,3.8054
200844,~10,1.3151
200844,10~19,1.9715
200844,20~29,2.0496
200844,30~39,2.3512
200844,40~49,2.8556
200844,50~59,2.8784
200844,60~69,2.9134
200844,70~79,3.7375
200845,~10,1.3074
200845,10~19,1.9263
200845,20~29,2.1324
200845,30~39,2.3455
200845,40~49,2.7513
200845,50~59,2.8389
200845,60~69,2.8354
200845,70~79,3.7722
200846,~10,1.2483
200846,10~19,1.6848
200846,20~29,1.7955
200846,30~39,1.9709
200846,40~49,2.1088
200846,50~59,1.8772
200846,60~69,2.2403
200846,70~79,3.1667
200846,80~,1.3333
200847,~10,1.3394
200847,10~19,1.8825
200847,20~29,1.7585
200847,30~39,2.1030
200847,40~49,2.0299
200847,50~59,1.9967
200847,60~69,3.0103
200847,70~79,3.5156
200847,80~,3.0096
200848,~10,1.3485
200848,10~19,1.8906
200848,20~29,2.1564
200848,30~39,2.0278
